resp_id,a_hhid,plot,plot_id,district,village,treatment,plot_gpslatitude,plot_gpslongitude,plot_gpsaltitude,plot_gpsaccuracy,mon_paddy,harvested,manage_status,manage_type1,manage_type2,burnt,burn_technique,burn_technique_1,burn_technique_2,burn_technique_3,burn_technique_4,burn_technique_5,burn_technique_6,burn_technique_7,sowed,comments,village_id,spotcheck_date
102800401,10280040,2,p2,Bathinda,Bangher Charat Singh,PES 1600 /acres,30.05107689,75.09870911,196.8000031,4.099999905,Yes,Yes,Stubble managed,Burnt,,1,6,0,0,0,0,0,1,0,Yes,,1020,11/15/19
102800461,10280046,1,p1,Bathinda,Bangher Charat Singh,PES 1600 /acres,30.05605507,75.09489441,207.3999939,3.900000095,Yes,Yes,Stubble managed,Burnt,,1,5,0,0,0,0,1,0,0,No,,1020,11/10/19
102800661,10280066,1,p1,Bathinda,Bangher Charat Singh,PES 1600 /acres,30.05111694,75.09872437,190.6000061,4.199999809,Yes,Yes,Stubble managed,Burnt,,1,2 3 5,0,1,1,0,1,0,0,No,,1020,11/10/19
102800681,10280068,2,p2,Bathinda,Bangher Charat Singh,PES 1600 /acres,30.0507946,75.09863281,194.1999969,4.199999809,Yes,Yes,Stubble managed,Burnt,,1,6,0,0,0,0,0,1,0,Yes,,1020,11/15/19
102800801,10280080,1,p1,Bathinda,Bangher Charat Singh,PES 1600 /acres,30.0464325,75.09938812,194.3999939,4.800000191,Yes,Yes,Stubble managed,Burnt,,1,3 6,0,0,1,0,0,1,0,Yes,,1020,11/15/19
102800921,10280092,1,p1,Bathinda,Bangher Charat Singh,PES 1600 /acres,30.0491581,75.09423828,195.3000031,4.599999905,Yes,Yes,Stubble management ongoing,,Using CRM machine,0,,,,,,,,,,,1020,11/10/19
103400151,10340015,4,p4,Bathinda,Bath,PES + 25% UCT 800/acres,30.28909302,75.13240814,192.3999939,4.900000095,Yes,Yes,Stubble managed,Burnt,,1,4 5 6,0,0,0,1,1,1,0,No,,1026,11/11/19
103400341,10340034,2,p2,Bathinda,Bath,PES + 25% UCT 800/acres,30.28770828,75.12998199,223.8000031,4.199999809,Yes,Yes,Stubble managed,Burnt,,1,5 6,0,0,0,0,1,1,0,No,,1026,11/11/19
103400441,10340044,2,p2,Bathinda,Bath,PES + 25% UCT 800/acres,30.27835655,75.14443207,201.8000031,4,Yes,Yes,Stubble managed,Burnt,,1,4,0,0,0,1,0,0,0,Yes,Crm use,1026,11/14/19
103400491,10340049,1,p1,Bathinda,Bath,PES + 25% UCT 800/acres,30.27645111,75.13712311,210.8999939,4.900000095,Yes,Yes,Stubble managed,Burnt,,1,1,1,0,0,0,0,0,0,Yes,Crm use,1026,11/14/19
103400591,10340059,3,p3,Bathinda,Bath,PES + 25% UCT 800/acres,30.29141998,75.13640594,205.8000031,4.699999809,Yes,Yes,Stubble managed,Used CRM machine,,0,,,,,,,,,Yes,Crm use good way,1026,11/14/19
103400601,10340060,3,p3,Bathinda,Bath,PES + 25% UCT 800/acres,30.28689957,75.14919281,198.1999969,5,Yes,Yes,Stubble managed,Burnt,,1,3 6,0,0,1,0,0,1,0,Yes,,1026,11/11/19
103400611,10340061,1,p1,Bathinda,Bath,PES + 25% UCT 800/acres,30.29222298,75.14527893,189.3000031,5.099999905,Yes,Yes,Stubble managed,Used CRM machine,,0,,,,,,,,,No,,1026,11/11/19
103400641,10340064,1,p1,Bathinda,Bath,PES + 25% UCT 800/acres,30.2818985,75.14065552,210.8999939,4.099999905,Yes,Yes,Stubble managed,Burnt,,1,1,1,0,0,0,0,0,0,Yes,Crm use,1026,11/14/19
103400701,10340070,1,p1,Bathinda,Bath,PES + 25% UCT 800/acres,30.27412415,75.13565063,196.1000061,4.699999809,Yes,Yes,Stubble managed,Burnt,,1,5 6,0,0,0,0,1,1,0,Yes,,1026,11/11/19
103800251,10380025,1,p1,Bathinda,Behman Diwana,PES 800/acres,30.21778679,74.81952667,183.8000031,4.699999809,Yes,Yes,Stubble managed,Burnt,,1,6,0,0,0,0,0,1,0,Yes,,1027,11/12/19
103800541,10380054,1,p1,Bathinda,Behman Diwana,PES 800/acres,30.22917175,74.81463623,194.8000031,4.099999905,Yes,Yes,Stubble managed,Burnt,,1,3,0,0,1,0,0,0,0,No,,1027,11/10/19
103800621,10380062,1,p1,Bathinda,Behman Diwana,PES 800/acres,30.21887016,74.87393951,196.6000061,4.099999905,Yes,Yes,Stubble managed,Burnt,,1,2 3 5 6,0,1,1,0,1,1,0,No,,1027,11/13/19
103800831,10380083,1,p1,Bathinda,Behman Diwana,PES 800/acres,30.22115898,74.83030701,189.6000061,6.099999905,Yes,Yes,Stubble management ongoing,,Using CRM machine,0,,,,,,,,,,,1027,11/10/19
103801051,10380105,1,p1,Bathinda,Behman Diwana,PES 800/acres,30.22118187,74.83022308,186,4.300000191,Yes,Yes,Stubble management ongoing,,Using CRM machine,0,,,,,,,,,,,1027,11/10/19
