unique_id,a_hhid,resp_id.y,plot_id,district,pv_paddy,pv_visit_date,sc_manage_status,sc_manage_type,geometry,sc_burn_straw_stub,sc_burn_straw_ash,sc_burn_resid,sc_burn_stand_stub,sc_burn_grass,sc_burn_trees_burnt,sc_burn_realtime,sc_burn_change_any,burn_index
1103400701,10340070,103400701,p1,Bathinda,Yes,11-Nov-19,Stubble managed,Burnt,"list(c(75.1345743611454, 75.134602189064, 75.1354387030005, 75.1354799419641, 75.1357427984476, 75.1355241984128, 75.1353833824396, 75.1351597532629, 75.1350635290145, 75.1348285004496, 75.1345743611454, 30.2743077837391, 30.275999909515, 30.275998751328, 30.2742623241055, 30.274247267407, 30.2739293388867, 30.2736331258686, 30.2736261765789, 30.273779350393, 30.2740657181868, 30.2743077837391))",0,0,0,0,0,0,0,NA,0
1103800251,10380025,103800251,p1,Bathinda,Yes,12-Nov-19,Stubble managed,Burnt,"list(c(74.8198342323303, 74.8177927359938, 74.8180398344993, 74.8200491443276, 74.8198342323303, 30.2185118237265, 30.2193409880058, 30.219786277049, 30.2189620416762, 30.2185118237265))",0,0,0,0,1,1,0,NA,2
1103800541,10380054,103800541,p1,Bathinda,Yes,10-Nov-19,Stubble managed,Burnt,"list(c(74.8158420994877, 74.8143169283867, 74.8147051781415, 74.8162430897355, 74.8158420994877, 30.2279650988632, 30.2285540335316, 30.2293179341896, 30.2287278453519, 30.2279650988632))",0,0,0,0,1,1,0,NA,2
1103800621,10380062,103800621,p1,Bathinda,Yes,13-Nov-19,Stubble managed,Burnt,"list(c(74.8741211369633, 74.8746787011623, 74.8754857107996, 74.8753391951322, 74.8753046616911, 74.8752768337726, 74.8752342537045, 74.8752188310027, 74.8751967027783, 74.8751752451062, 74.8751437291502, 74.8750817030668, 74.875034764409, 74.8749891668558, 74.8749512806534, 74.8748822137713, 74.8741211369633, 30.2191063195793, 30.2204914346243, 30.220150155213, 30.2198850689448, 30.2197940992849, 30.2196860364903, 30.2195837678382, 30.2194780225195, 30.2194058838669, 30.2193253434615, 30.2192384292809, 
30.2191578887383, 30.2190758995571, 30.2189913028744, 30.2189096032694, 30.218806464664, 30.2191063195793))",0,0,0,0,0,1,0,NA,1
1103800831,10380083,103800831,p1,Bathinda,Yes,10-Nov-19,Stubble management ongoing,Used CRM machine,"list(c(74.8293393105268, 74.8299163207411, 74.8306901380419, 74.8300276324152, 74.8293393105268, 30.2185912059341, 30.2197813519373, 30.2195214795135, 30.2182968540687, 30.2185912059341))",0,0,0,0,1,0,0,NA,1
1103801051,10380105,103801051,p1,Bathinda,Yes,10-Nov-19,Stubble management ongoing,Used CRM machine,"list(c(74.8314652964472, 74.8315273225307, 74.8307836800813, 74.8312436789274, 74.8320312425494, 74.832812435925, 74.8315031826496, 74.8314652964472, 30.2177127831926, 30.2178440256111, 30.2181569207372, 30.2190454795254, 30.220471734317, 30.2201478375219, 30.2176980075451, 30.2177127831926))",0,1,1,0,1,0,0,NA,3
1103801251,10380125,103801251,p1,Bathinda,Yes,13-Nov-19,Stubble managed,Created bales,"list(c(74.8452394455671, 74.8457383364439, 74.8474680259823, 74.847065359354, 74.8465644568204, 74.8464286699891, 74.8452394455671, 30.2185975796853, 30.2194229769661, 30.2187522878813, 30.2180375571584, 30.2182238453988, 30.218130556464, 30.2185975796853))",0,0,0,0,0,1,0,NA,1
1103801451,10380145,103801451,p1,Bathinda,Yes,13-Nov-19,Stubble managed,Burnt,"list(c(74.8449179157614, 74.8456256836652, 74.8450496792793, 74.84429564327, 74.8449179157614, 30.2302565070774, 30.2299537893316, 30.2288419816134, 30.2290743093304, 30.2302565070774))",0,0,1,0,0,1,0,NA,2
1104201241,10420124,104201241,p1,Bathinda,Yes,13-Nov-19,Stubble managed,Created bales,"list(c(75.081541724503, 75.0812517106532, 75.0809489563107, 75.080762207508, 75.0826229900121, 75.0827919691801, 75.08190382272, 75.082149580121, 75.081541724503, 30.0359050845333, 30.036735783803, 30.0366611894991, 30.0371952486471, 30.0376637090299, 30.0371447453508, 30.0368980334764, 30.0359866454617, 30.0359050845333))",0,0,0,0,0,0,0,NA,0
1104201921,10420192,104201921,p1,Bathinda,Yes,15-Nov-19,Stubble managed,Burnt,"list(c(75.0458730384707, 75.0462046265602, 75.0433779135346, 75.0430366024374, 75.0458730384707, 30.0283265913784, 30.0273860967958, 30.0265855082656, 30.0276406698213, 30.0283265913784))",0,0,0,1,1,1,0,NA,3
